file,sparse_code_time,wav_time,diff
17_13,57599990,57600125.0,135.0
38_08,43651300,43651437.5,137.5
42_10,57599990,57600125.0,135.0
31_14,57599990,57600125.0,135.0
37_14,57599990,57600125.0,135.0
46_11,57599990,57600125.0,135.0
13_10,44742240,44742375.0,135.0
08_07,57599990,57600125.0,135.0
22_13,40741050,40741187.5,137.5
19_14,42710300,42710437.5,137.5
13_09,47354300,47354437.5,137.5
